community
Aghaming
Alonsa
Angusville
Anola
Argyle
Ashern
Ashville
Aubigny
Austin
Baden
Badger
Bakers Narrows
Baldur
Barrows
Berens River
Big Black River
Big Eddy
Birch River
Birds Hill
Bissett
Blumenort
Brochet
Brunkild
Bruxelles
Caliento
Camperville
Chater
Chortitz
Clearwater
Cormorant
Cottonwoods
Cranberry Portage
Crane River
Cromer
Cross Lake
Cypress River
Dallas
Dauphin River
Dawson Bay
Dominion City
Douglas
Duck Bay
Dugald
East Selkirk
Easterville
Elgin
Elie
Elm Creek
Elma
Elphinstone
Eriksdale
Falcon Lake
Fisher Bay
Fisher Branch
Forrest
Fort Alexander
Foxwarren
Fraserwood
Fridensfeld
Friedensruh
Garden Hill
Gardenton
Garson
Gimli
Glenlea
Gods Lake Narrows
Gods River
Goose Creek
Grande Pointe
Granville Lake
Gretna
Grunthal
Gunton
Hadashville
Harwill
Herb Lake Landing
Hochfeld
Hodgson
Holland
Homebrook
Howden
Ile-des-Chenes
Ilford
Isabella
Island Lake
Jackhead
Kemnay
Kenton
Kenville
Killarney
Kleefeld
Komarno
La Broquerie
La Riviere
Lac Brochet
Landmark
Letellier
Libau
Little Bullhead
Little Grand Rapids
Lockport
Long Body Creek
Loon Straits
Lorette
Lundar
MacGregor
Mallard
Manigotagan
Manitoba House
Marchand
Matheson Island
Matlock
Meadow Portage
Miami
Moose Lake
Narcisse
National Mills
Neelin
Nelson House
New Bothwell
Ninette
Norway House
Oak Island
Oak Point
Oakbank
Oakburn
Oakville
Olha
Onanole
Oxford House
Pasquia
Pelican Rapids
Pierson
Pikwitonei
Pine Creek
Pine Dock
Piney
Pipestone
Poplarville
Powell
Prawda
Princess Harbour
Pukatawagan
Rat River
Red Deer Lake
Red Rose
Red Sucker Lake
Reinfeld
Reston
Richer
River Hills
Rock Ridge
Salt Point
Sandy Bay
Sandy Lake
Sanford
Seven Sisters
Seymourville
Shamattawa
Sherridon
Shilo
Shoal Lake
Silver
South Indian Lake
South Junction
Spence Lake
Sperling
Split Lake
Sprague
Sprucewoods
St. Adolphe
St. Boniface
St. Francois Xavier
St. Georges
St. Jean Baptiste
St. Laurent
St. Malo
St. Theresa Point
Starbuck
Stony Mountain
Stuartburn
Sundance
Sundown
Tadoule Lake
Thicket Portage
Tolstoi
Treesbank
Tyndall
Vassar
Vista
Vita
Vogar
Waasagomach
Wabowden
Waldersee
Wanless
Warren
Warren Landing
Waterhen
West St. Paul
Westbourne
Westgate
Whitemouth
York Factory
York Landing
Zhoda
