House_Price,House_Title,Post_Date,House_Link,House_Long,House_Lat
349900.0,WELCOME TO 223 GRASSIE BOULEVARD,"Mon, 10 Jun 2019 10:33:50 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/welcome-to-223-grassie-boulevard/1439981272,-97.133062,49.92325200000001
299900.0,"Judy Lindsay Team Presents: 200 Moorgate Street, St. James","Mon, 10 Jun 2019 10:32:58 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/judy-lindsay-team-presents:-200-moorgate-street-st-james/1439981038,-96.90849999999999,49.30583069999999
289900.0,Call now to view this stunning home!!,"Mon, 10 Jun 2019 10:30:45 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/call-now-to-view-this-stunning-home/1439980524,-96.6607325,49.5136766
450000.0,Exciting New Build in Mature Neighborhood,"Mon, 10 Jun 2019 10:36:14 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/exciting-new-build-in-mature-neighborhood/1439981863,-96.93430819999999,50.0833599
357049.0,3 Bedroom Lakefront Cabover in Bridgwater Trails,"Mon, 10 Jun 2019 10:40:08 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/3-bedroom-lakefront-cabover-in-bridgwater-trails/1439982782,-97.2032298,49.7820533
495900.0,New house with university rental suite in Fort Garry,"Mon, 10 Jun 2019 10:53:25 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/new-house-with-university-rental-suite-in-fort-garry/1439986199,-96.6532197,49.6677966
229900.0,THE HOME OF YOUR DREAMS WITHIN YOUR MEANS!,"Mon, 10 Jun 2019 10:52:09 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/the-home-of-your-dreams-within-your-means/1439985881,-97.1553175,49.8446665
314900.0,WELCOME TO 34 HARROWBY AVENUE,"Mon, 10 Jun 2019 10:57:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/welcome-to-34-harrowby-avenue/1439987151,-97.1087471,49.8661281
289900.0,OPEN CONCEPT 3BD BI-LEVEL ON QUIET CUL-DE-SAC! WARREN,"Mon, 10 Jun 2019 11:21:15 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/open-concept-3bd-bi-level-on-quiet-cul-de-sac-warren/1439992876,-97.55326219999999,50.1329415
324900.0,"122 Houde Drive, Winnipeg Houses for Sale by Hubert Labossiere","Mon, 10 Jun 2019 11:26:34 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/122-houde-drive-winnipeg-houses-for-sale-by-hubert-labossiere/1439994123,-97.1596591,49.7653398
287900.0,3 Bedroom Shaughnessy Heights Fully Developed Home,"Mon, 10 Jun 2019 11:25:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/3-bedroom-shaughnessy-heights-fully-developed-home/1439993776,-97.16515,49.9423891
293900.0,"DREAMING OF OWNING A *BRAND NEW* HM? -257 McAdam Ave, WPG","Mon, 10 Jun 2019 11:40:49 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/dreaming-of-owning-a-brand-new-hm-257-mcadam-ave-wpg/1439997719,-97.04526210000002,49.9181901
279900.0,"MX HOMES *BRAND NEW* 3BD HOME! 487 MATHESON AVE, WPG","Mon, 10 Jun 2019 11:52:50 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/mx-homes-brand-new-3bd-home-487-matheson-ave-wpg/1440000683,-97.1349199,49.9332345
380000.0,HOUSE FOR SALE WITH 38X24 MECHANIC&apos;S SHOP,"Mon, 10 Jun 2019 11:55:37 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/house-for-sale-with-38x24-mechanics-shop/1440001381,-97.168961,49.7670152
568800.0,Renovated Duplex for sale,"Mon, 10 Jun 2019 12:01:19 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/renovated-duplex-for-sale/1440002678,-97.223413,49.9442112
329900.0,Lovely home on Quiet Street in St. James,"Mon, 10 Jun 2019 12:00:08 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/lovely-home-on-quiet-street-in-st-james/1440002395,-97.26448690000001,49.8772277
239500.0,Excellent and Solid Bungalow in Move In Condition,"Mon, 10 Jun 2019 12:11:25 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/excellent-and-solid-bungalow-in-move-in-condition/1440005165,-97.1671597,49.9260263
299900.0,"OPEN HOUSE SAT. JUNE 15, 1-3!  1032 BOSTON AVE. WPG","Mon, 10 Jun 2019 12:52:41 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/open-house-sat-june-15-1-3-1032-boston-ave-wpg/1440015270,-97.1528678,49.834802
339500.0,Over 3000 sqft Home on a beautiful 3 acre property!!,"Mon, 10 Jun 2019 13:05:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/over-3000-sqft-home-on-a-beautiful-3-acre-property/1440018195,-96.691092,49.5285279
